tv	tele,television,tv,video,テレビ,映像
sergers	sergers,サーガー
serial	serial,シリアル
serological	serological,血清学的
serrano	serrano,セラーノ
serrata	serrata,コナラ
serum	serum,血清
serums	serums,血清
serve	serve,奉仕する
server	server,サーバー
serveware	serveware,サーバーウェア
serving	serving,給仕
servo	servo,サーボ
servos	servos,サーボ
sesame	sesame,ゴマ
setters	setters,セッター
setting	setting,設定
sewage	sewage,下水
sex	sex,セックス
shade	shade,日陰
shadow	shadow,影
shaft	shaft,シャフト
shafting	shafting,シャフト
shaker	shaker,シェーカー
shakes	shakes,震える
shakuhachis	shakuhachis,尺八
shallots	shallots,エシャロット
shampoos	shampoos,シャンプー
shankh	shankh,シャンク
shaped	shaped,形をした
shaper	shaper,シェイパー
shapes	shapes,形
shapewear	shapewear,補正下着
shaping	shaping,整形
sharpening	sharpening,研ぐ
sharps	sharps,鋭利物
shatavari	shatavari,シャタバリ
shave	shave,剃る
shaved	shaved,剃った
shavers	shavers,シェーバー
shaves	shaves,剃る
shaving	shaving,シェービング
shawms	shawms,ショームズ
shear	shear,せん断
sheaths	sheaths,鞘
shed	shed,小屋
shedding	shedding,脱皮
sheds	sheds,小屋
sheers	sheers,薄手の
sheeters	sheeters,シーター
sheeting	sheeting,シート
shelf	shelf,棚
shellac	shellac,シェラック
shelves	shelves,棚
shelving	shelving,棚
shemagh	shemagh,シェマグ
shenais	shenais,シェナイ
shepherd	shepherd,羊飼い
sherbets	sherbets,シャーベット
sherry	sherry,シェリー酒
sherwanis	sherwanis,シャーワニス
shield	shield,盾
shift	shift,シフト
shiitake	shiitake,しいたけ
shilajit	shilajit,シラジット
shim	shim,シム
shimeji	shimeji,しめじ
shims	shims,シム
shingle	shingle,屋根板
shingles	shingles,帯状疱疹
ship	ship,船
shirataki	shirataki,しらたき
shirt	shirt,シャツ
shock	shock,ショック
shocks	shocks,衝撃
shofars	shofars,ショファルス
shoot	shoot,撃つ
shoots	shoots,シュートする
shore	shore,海岸
shortboards	shortboards,ショートボード
shortbread	shortbread,ショートブレッド
shortening	shortening,短縮
shortwave	shortwave,短波
shorty	shorty,背が低い
shot	shot,ショット
shots	shots,ショット
show	show,ショー
showerhead	showerhead,シャワーヘッド
showerheads	showerheads,シャワーヘッド
shredded	shredded,細断された
shredders	shredders,シュレッダー
shrimp	shrimp,エビ
shrink	shrink,縮める
shrinkable	shrinkable,収縮する
shrubs	shrubs,低木
shrugs	shrugs,肩をすくめる
shruti	shruti,シュルティ
shuddha	shuddha,シュッダ
shuffleboard	shuffleboard,シャッフルボード
shufflers	shufflers,シャッフルする人
shutter	shutter,シャッター
shutters	shutters,シャッター
shuttlecocks	shuttlecocks,羽根
sichuan	sichuan,四川省
sickness	sickness,病気
sideboards	sideboards,サイドボード
sided	sided,側面のある
sidesplashes	sidesplashes,サイドスプラッシュ
sidewalk	sidewalk,歩道
siding	siding,サイディング
sieves	sieves,ふるい
sifters	sifters,シフター
sign	sign,サイン
signalers	signalers,合図者
signals	signals,信号
signboards	signboards,看板
silent	silent,沈黙
silicon	silicon,シリコン
silicone	silicone,シリコーン
sills	sills,敷居
silver	silver,銀色
sim	sim,シム
simulated	simulated,シミュレートされた
singles	singles,シングル
singlets	singlets,シングレット
sink	sink,シンク
sinker	sinker,シンカー
sinks	sinks,シンク
sinus	sinus,副鼻腔
sip	sip,一口飲む
siphoning	siphoning,吸い上げ
sirens	sirens,サイレン
sitars	sitars,シタール
site	site,サイト
sites	sites,サイト
sitz	sitz,座る
size	size,サイズ
sized	sized,サイズのある
sizers	sizers,サイザー
sizzlers	sizzlers,シズラー
skee	skee,スキー
sketch	sketch,スケッチ
sketchbooks	sketchbooks,スケッチブック
skill	skill,スキル
skillets	skillets,フライパン
skimmers	skimmers,スキマー
skimming	skimming,スキミング
skin	skin,皮膚
skooters	skooters,スクーター
sky	sky,空
skylight	skylight,天窓
skylights	skylights,天窓
slam	slam,叩きつける
slats	slats,スラット
slatwalls	slatwalls,スラットウォール
slaw	slaw,スロー
sledgehammers	sledgehammers,大ハンマー
sleep	sleep,寝る
sleepers	sleepers,枕木
sleepshirts	sleepshirts,スリープシャツ
sleeveless	sleeveless,ノースリーブ
sleigh	sleigh,そり
slicers	slicers,スライサー
slices	slices,スライス
slicing	slicing,スライス
sliders	sliders,スライダー
sliding	sliding,滑る
slimmers	slimmers,スリム派
sling	sling,スリング
slip	slip,スリップ
slipcover	slipcover,スリップカバー
slipcovers	slipcovers,スリップカバー
slipper	slipper,スリッパ
slips	slips,滑る
sloppy	sloppy,ずさんな
slots	slots,スロット
slotted	slotted,スロット付き
slotting	slotting,スロッティング
slotwall	slotwall,スロットウォール
slow	slow,遅い
slr	slr,一眼レフ
sma	sma,スマ
smart	smart,賢い
smartmedia	smartmedia,スマートメディア
smartphones	smartphones,スマートフォン
smartwatch	smartwatch,スマートウォッチ
smartwatches	smartwatches,スマートウォッチ
smith	smith,スミス
smoke	smoke,煙
smoked	smoked,燻製
smokeless	smokeless,無煙
smoker	smoker,喫煙者
smokers	smokers,喫煙者
smoking	smoking,喫煙
smoothing	smoothing,スムージング
snagging	snagging,ひっかかる
snails	snails,カタツムリ
snake	snake,ヘビ
snap	snap,スナップ
snapper	snapper,スナッパー
snares	snares,わな
snatch	snatch,ひったくり
snifters	snifters,スニフター
snore	snore,いびきをかく
snoring	snoring,いびきをかく
snorkel	snorkel,シュノーケル
soaking	soaking,浸す
soaps	soaps,石鹸
soba	soba,そば
sobriety	sobriety,飲酒
sock	sock,靴下
socket	socket,ソケット
sockets	sockets,ソケット
soda	soda,ソーダ
sodium	sodium,ナトリウム
sofa	sofa,ソファ
soffit	soffit,軒天井
sofrito	sofrito,ソフリト
softener	softener,柔軟剤
softeners	softeners,柔軟剤
softshell	softshell,ソフトシェル
soic	soic,ソイック
soil	soil,土壌
soils	soils,土壌
solder	solder,はんだ付け
sole	sole,ソール
solenoid	solenoid,ソレノイド
solenoids	solenoids,ソレノイド
solution	solution,解決策
solutions	solutions,ソリューション
solvent	solvent,溶剤
solvents	solvents,溶剤
solving	solving,解決する
sonic	sonic,ソニック
soothers	soothers,おだやか者
soothing	soothing,なだめるような
soprano	soprano,ソプラノ
sorbitol	sorbitol,ソルビトール
sore	sore,痛い
sorter	sorter,仕分け機
sorters	sorters,仕分け機
sorting	sorting,並べ替え
souffl	souffl,スフレ
souffle	souffle,スフレ
soundbar	soundbar,サウンドバー
sounds	sounds,音
sour	sour,酸っぱい
sources	sources,ソース
sourdough	sourdough,サワー種
sous	sous,スー
south	south,南
soy	soy,大豆
soybean	soybean,大豆
spa	spa,スパ
space	space,スペース
spacecraft	spacecraft,宇宙船
spacers	spacers,スペーサー
spade	spade,スペード
spades	spades,スペード
spaghetti	spaghetti,スパゲッティ
spanish	spanish,スペイン語
spare	spare,予備
spark	spark,スパーク
sparkling	sparkling,キラキラ
spatulas	spatulas,スパチュラ
speakerphones	speakerphones,スピーカーフォン
spearing	spearing,槍を使う
specialty	specialty,専門
specimen	specimen,標本
specimens	specimens,標本
spectrometer	spectrometer,分光計
spectrometers	spectrometers,分光計
spectrometry	spectrometry,分光分析
spectrophotometer	spectrophotometer,分光光度計
spectrophotometers	spectrophotometers,分光光度計
spectrum	spectrum,スペクトル
specula	specula,鏡
speech	speech,スピーチ
spelling	spelling,スペル
spelt	spelt,綴られた
spermicides	spermicides,殺精子剤
spherical	spherical,球状の
sphygmomanometers	sphygmomanometers,血圧計
spice	spice,スパイス
spiced	spiced,スパイスの効いた
spices	spices,スパイス
spicy	spicy,辛い
spider	spider,蜘蛛
spill	spill,こぼれる
spinach	spinach,ほうれん草
spindle	spindle,スピンドル
spindles	spindles,スピンドル
spine	spine,背骨
spines	spines,背骨
spinner	spinner,スピナー
spinnerbaits	spinnerbaits,スピナーベイト
spiral	spiral,スパイラル
spirits	spirits,精霊
spirometers	spirometers,肺活量計
spirulina	spirulina,スピルリナ
spitters	spitters,吐き出す人
spittoons	spittoons,つばき
splash	splash,スプラッシュ
splatter	splatter,飛び散る
spld	spld,スプルド
spleen	spleen,脾臓
splines	splines,スプライン
splints	splints,添え木
split	split,分割
splitter	splitter,スプリッター
splitters	splitters,スプリッター
spoilers	spoilers,スポイラー
sponges	sponges,スポンジ
spools	spools,スプール
spoon	spoon,スプーン
spoons	spoons,スプーン
sporks	sporks,スポーク
sporrans	sporrans,スポラン
spot	spot,スポット
spotlights	spotlights,スポットライト
spotting	spotting,スポッティング
spouts	spouts,注ぎ口
sprayers	sprayers,噴霧器
sprays	sprays,スプレー
spread	spread,広がる
spreader	spreader,スプレッダー
spreaders	spreaders,スプレッダー
spreads	spreads,スプレッド
spreadsheet	spreadsheet,スプレッドシート
springform	springform,スプリングフォーム
springs	springs,スプリング
sprinkler	sprinkler,スプリンクラー
sprinklers	sprinklers,スプリンクラー
sprinkles	sprinkles,スプリンクル
sprockets	sprockets,スプロケット
sprouts	sprouts,もやし
spur	spur,拍車
sql	sql
square	square,正方形
squares	squares,正方形
squashes	squashes,スカッシュ
squeegees	squeegees,スキージ
squeezers	squeezers,絞り器
squid	squid,イカ
squirrels	squirrels,リス
squirt	squirt,潮吹き
sram	sram,スラム
st	st,セント
stabilizer	stabilizer,スタビライザー
stack	stack,スタック
stacked	stacked,積み重ねられた
stackers	stackers,スタッカー
stacks	stacks,スタック
stain	stain,汚れ
stained	stained,汚れた
stainless	stainless,ステンレス
stains	stains,汚れ
stair	stair,階段
stairs	stairs,階段
stakes	stakes,賭け金
stall	stall,ストール
stalls	stalls,屋台
stamp	stamp,スタンプ
stamped	stamped,刻印された
stamps	stamps,スタンプ
standards	standards,標準
standing	standing,立っている
standoffs	standoffs,対立
staple	staple,ステープル
starch	starch,でんぷん
starters	starters,スターター
starting	starting,始めます
state	state,状態
statement	statement,声明
static	static,静的
stationary	stationary,静止した
stations	stations,駅
status	status,ステータス
steak	steak,ステーキ
steam	steam,蒸気
steamer	steamer,蒸し器
steer	steer,操縦する
steins	steins,ジョッキ
stem	stem,幹
stemmed	stemmed,語幹付き
stemming	stemming,ステミング
stems	stems,茎
stemware	stemware,脚付きグラス
stencil	stencil,ステンシル
stencils	stencils,ステンシル
steno	steno,ステノ
stepstools	stepstools,踏み台
stereo	stereo,ステレオ
sterile	sterile,無菌
sterilization	sterilization,滅菌
sterilizer	sterilizer,滅菌器
sterilizers	sterilizers,滅菌器
stethoscope	stethoscope,聴診器
stethoscopes	stethoscopes,聴診器
stevia	stevia,ステビア
stewed	stewed,煮込み
stews	stews,シチュー
still	still,まだ
stilts	stilts,竹馬
stimulators	stimulators,刺激装置
stirrer	stirrer,スターラー
stirrers	stirrers,マドラー
stirring	stirring,かき混ぜる
stitch	stitch,ステッチ
stitches	stitches,ステッチ
stock	stock,在庫
stocking	stocking,ストッキング
stockings	stockings,ストッキング
stockpots	stockpots,ストックポット
stoles	stoles,ストール
stoma	stoma,ストーマ
stone	stone,石
stool	stool,スツール
stopcock	stopcock,活栓
stopcocks	stopcocks,活栓
stoppers	stoppers,ストッパー
stops	stops,止まる
storm	storm,嵐
stovetop	stovetop,コンロ
straight	straight,まっすぐ
straights	straights,ストレート
strainers	strainers,ストレーナー
straining	straining,緊張する
strand	strand,ストランド
strands	strands,ストランド
strapless	strapless,ストラップレス
strappers	strappers,ストラップ
strapping	strapping,ストラップをかける
straw	straw,わら
straws	straws,ストロー
streamers	streamers,のぼり
strengtheners	strengtheners,強化者
stretch	stretch,ストレッチ
stretched	stretched,伸びた
stretchers	stretchers,担架
strikes	strikes,ストライキ
stripe	stripe,ストライプ
striping	striping,ストライピング
stripping	stripping,ストリッピング
strobes	strobes,ストロボ
stroboscopes	stroboscopes,ストロボスコープ
stroke	stroke,脳卒中
stroller	stroller,ベビーカー
stromboli	stromboli,ストロンボリ島
strops	strops,ストロップ
structural	structural,構造的な
structures	structures,構造物
strum	strum,かき鳴らす
strung	strung,張られた
strut	strut,ストラット
students	students,学生
studs	studs,スタッド
stuff	stuff,もの
stuffers	stuffers,詰め物
stuffing	stuffing,詰め物
stuffings	stuffings,詰め物
stun	stun,気絶させる
stunt	stunt,スタント
style	style,スタイル
stylus	stylus,スタイラス
styptic	styptic,止血剤
styrofoam	styrofoam,発泡スチロール
subject	subject,件名
subland	subland,サブランド
sublimation	sublimation,昇華
submarine	submarine,潜水艦
subscriptions	subscriptions,サブスクリプション
substance	substance,物質
substrate	substrate,基板
sucanat	sucanat,スカナット
succulents	succulents,多肉植物
suckers	suckers,吸盤
suction	suction,吸引
suctioning	suctioning,吸引する
suet	suet,スエット
sugars	sugars,砂糖
suggestion	suggestion,提案
suit	suit,スーツ
suitcases	suitcases,スーツケース
suites	suites,スイート
suiting	suiting,スーツ
sumac	sumac,ウルシ
sumi	sumi,墨
sump	sump,サンプ
sumps	sumps,サンプ
suncatcher	suncatcher,サンキャッチャー
sundial	sundial,日時計
sundried	sundried,天日干しした
sundry	sundry,雑貨
sunflower	sunflower,ひまわり
sunflowers	sunflowers,ひまわり
sunglass	sunglass,サングラス
sunscreens	sunscreens,日焼け止め
sunsuits	sunsuits,サンスーツ
suonas	suonas,スオナ
sup	sup,スープ
super	super,スーパー
supergreens	supergreens,スーパーグリーン
supers	supers,スーパー
supply	supply,供給
supporters	supporters,サポーター
suppressants	suppressants,抑制剤
suppressors	suppressors,サプレッサー
surface	surface,表面
surfaces	surfaces,表面
surfactants	surfactants,界面活性剤
surforms	surforms,サーフォーム
surge	surge,急上昇
surgery	surgery,手術
surgical	surgical,外科用
surimi	surimi,すり身
surround	surround,サラウンド
surrounds	surrounds,取り囲む
susans	susans,スーザン
suture	suture,縫合糸
sutures	sutures,縫合糸
swabs	swabs,綿棒
swaddling	swaddling,おくるみ
swag	swag,盗品
swags	swags,盗品
swai	swai,スワイ
swatters	swatters,たたき
sway	sway,揺れる
sweatpants	sweatpants,スウェットパンツ
sweatsuits	sweatsuits,スウェットスーツ
sweepers	sweepers,掃除人
sweeping	sweeping,掃除する
sweet	sweet,甘い
sweeteners	sweeteners,甘味料
swim	swim,泳ぐ
swimsuits	swimsuits,水着
swinging	swinging,揺れる
swiss	swiss,スイス
swizzle	swizzle,スウィズル
swordfish	swordfish,カジキマグロ
sylvestre	sylvestre,シルベストル
symbol	symbol,シンボル
sync	sync,同期する
synthesizer	synthesizer,シンセサイザー
syringe	syringe,注射器
syringes	syringes,注射器
syrup	syrup,シロップ
syrups	syrups,シロップ
system	system,システム
tab	tab,タブ
tablecloths	tablecloths,テーブルクロス
tablecovers	tablecovers,テーブルカバー
tablespoons	tablespoons,大さじ
tabletop	tabletop,卓上
tachometers	tachometers,タコメーター
tackers	tackers,タッカー
tacks	tacks,鋲
taco	taco,タコス
tactile	tactile,触覚的な
tadpole	tadpole,オタマジャクシ
taffy	taffy,タフィー
tag	tag,タグ
tagliatelle	tagliatelle,タリアテッレ
tagout	tagout,タグアウト
tail	tail,尻尾
tailors	tailors,仕立て屋
tailpieces	tailpieces,テールピース
taiyaki	taiyaki,たい焼き
take	take,取る
taking	taking,取る
talc	talc,タルク
taleggio	taleggio,タレッジョ
tamburas	tamburas,タンブラス
tamper	tamper,改ざん
tampers	tampers,改ざん
tampons	tampons,タンポン
tang	tang,唐
tangas	tangas,タンガ
tangerines	tangerines,みかん
tankini	tankini,タンキニ
tankinis	tankinis,タンキニ
tanks	tanks,タンク
tanners	tanners,皮なめし業者
tanning	tanning,日焼け
taper	taper,テーパー
tapered	tapered,先細りの
tapers	tapers,先細り
tapestries	tapestries,タペストリー
taping	taping,テーピング
tapioca	tapioca,タピオカ
tapping	tapping,たたく
taps	taps,タップする
target	target,ターゲット
targeting	targeting,ターゲティング
tarps	tarps,防水シート
tart	tart,タルト
tartar	tartar,歯石
tassel	tassel,タッセル
tassels	tassels,タッセル
tasting	tasting,試飲
tatting	tatting,タティング
tattoo	tattoo,タトゥー
tattoos	tattoos,入れ墨
taurine	taurine,タウリン
tax	tax,税金
teachers	teachers,教師
teaching	teaching,教える
teacups	teacups,ティーカップ
teakettles	teakettles,やかん
teapot	teapot,ティーポット
teapots	teapots,ティーポット
teaspoons	teaspoons,小さじ
technical	technical,技術的な
teddies	teddies,テディベア
teddy	teddy,テディ
tee	tee,ティー
teeter	teeter,ぐらつく
teeth	teeth,歯
teething	teething,歯が生える
teff	teff,テフ
telephone	telephone,電話
telephones	telephones,電話
teleprompters	teleprompters,テレプロンプター
telescopes	telescopes,望遠鏡
telescoping	telescoping,伸縮式
teller	teller,出納係
tempera	tempera,テンペラ
temperature	temperature,温度
tempfet	tempfet,テンフェト
templates	templates,テンプレート
temporary	temporary,一時的な
tempura	tempura,天ぷら
tenderizers	tenderizers,軟化剤
tendon	tendon,腱
tenor	tenor,テノール
tension	tension,緊張
tensioners	tensioners,テンショナー
teppanyaki	teppanyaki,鉄板焼き
teriyaki	teriyaki,てりやき
terminals	terminals,端子
testicles	testicles,睾丸
testosterone	testosterone,テストステロン
tests	tests,テスト
tetherball	tetherball,テザーボール
text	text,テキスト
textile	textile,繊維
textiles	textiles,織物
texture	texture,テクスチャ
thai	thai,タイ人
the	the,の
theft	theft,盗難
therapies	therapies,治療法
therapy	therapy,セラピー
thermal	thermal,熱
thermistors	thermistors,サーミスタ
thermocouple	thermocouple,熱電対
thermometers	thermometers,温度計
thermoplastic	thermoplastic,熱可塑性プラスチック
thermostat	thermostat,サーモスタット
thermostats	thermostats,サーモスタット
thermowells	thermowells,サーモウェル
thesauri	thesauri,シソーラス
thiamine	thiamine,チアミン
thickness	thickness,厚さ
thimbles	thimbles,指ぬき
thin	thin,薄い
thinking	thinking,考えている
thinners	thinners,シンナー
thins	thins,薄くなる
thistle	thistle,アザミ
thobes	thobes,トーブス
thongs	thongs,ひも
thousand	thousand,千
thread	thread,スレッド
threaded	threaded,ねじ切りされた
threaders	threaders,糸通し器
threading	threading,ねじ切り
threads	threads,スレッド
three	three,3つ
threshold	threshold,しきい値
thresholds	thresholds,しきい値
throats	throats,喉
throttle	throttle,スロットル
throwing	throwing,投げる
thrust	thrust,推力
thunderbolt	thunderbolt,落雷
thwarts	thwarts,妨げる
thymus	thymus,胸腺
thyroid	thyroid,甲状腺
tickets	tickets,チケット
ticklers	ticklers,くすぐったい人
tiebacks	tiebacks,タイバック
tiered	tiered,階層化された
tiers	tiers,階層
tig	tig,ティグ
tight	tight,きつい
tilapia	tilapia,ティラピア
tiles	tiles,タイル
tillers	tillers,耕耘機
tilt	tilt,傾ける
tilters	tilters,ティルター
time	time,時間
timer	timer,タイマー
timing	timing,タイミング
timpani	timpani,ティンパニ
tin	tin,ブリキ
tins	tins,缶
tinsel	tinsel,見掛け倒し
tinted	tinted,着色された
tiny	tiny,小さな
tips	tips,ヒント
tissue	tissue,組織
tissues	tissues,組織
titanium	titanium,チタン
titrators	titrators,滴定装置
tlc	tlc,薄層液晶
tmc	tmc
toast	toast,乾杯
toaster	toaster,トースター
tobacco	tobacco,タバコ
toe	toe,つま先
toffee	toffee,トフィー
toggle	toggle,トグル
toiletry	toiletry,トイレタリー
toilets	toilets,トイレ
tokoroten	tokoroten,ところてん
tomatillos	tomatillos,トマティージョ
tomato	tomato,トマト
toner	toner,トナー
toners	toners,トナー
tongs	tongs,トング
tongue	tongue,舌
tonic	tonic,トニック
toolroom	toolroom,工具室
tooth	tooth,歯
toothbrush	toothbrush,歯ブラシ
toothpaste	toothpaste,歯磨き粉
toothpick	toothpick,つまようじ
toothpicks	toothpicks,つまようじ
top	top,トップ
topiaries	topiaries,トピアリー
topical	topical,話題の
toploading	toploading,トップローディング
topographic	topographic,地形的な
topwater	topwater,トップウォーター
torches	torches,たいまつ
toroids	toroids,トロイド
torque	torque,トルク
torsion	torsion,ねじれ
tortellini	tortellini,トルテッリーニ
tortilla	tortilla,トルティーヤ
tortillas	tortillas,トルティーヤ
totes	totes,トートバッグ
totters	totters,よろよろする
touch	touch,触れる
touchless	touchless,タッチレス
tournament	tournament,トーナメント
tourniquets	tourniquets,止血帯
tow	tow,牽引する
towables	towables,牽引車
towelettes	towelettes,タオル
tower	tower,タワー
trace	trace,トレース
tracers	tracers,トレーサー
tracheal	tracheal,気管
tracheostomy	tracheostomy,気管切開
trachten	trachten,トラクテン
tracing	tracing,なぞる
trackballs	trackballs,トラックボール
tracking	tracking,追跡
tracksuits	tracksuits,ジャージ
tract	tract,道
tractor	tractor,トラクター
traffic	traffic,交通
trail	trail,トレイル
train	train,電車
transceivers	transceivers,トランシーバー
transcriptase	transcriptase,転写酵素
transducers	transducers,トランスデューサー
transfer	transfer,転送
transfers	transfers,転送
transistors	transistors,トランジスタ
transit	transit,トランジット
translators	translators,翻訳者
transmissions	transmissions,トランスミッション
transmitter	transmitter,送信機
transmitters	transmitters,送信機
transparent	transparent,透明な
trapeze	trapeze,空中ブランコ
trash	trash,ゴミ箱
tray	tray,トレイ
treadmills	treadmills,トレッドミル
treads	treads,トレッド
treat	treat,治療する
treated	treated,治療された
treaters	treaters,治療者
trellises	trellises,トレリス
tremella	tremella,トレメラ
trench	trench,溝
trenchcoats	trenchcoats,トレンチコート
triangular	triangular,三角形
tribulus	tribulus,ハマビシ
trifle	trifle,些細な事
trigger	trigger,トリガー
trigon	trigon,トライゴン
trikatu	trikatu,トリカツ
trim	trim,トリム
trimmer	trimmer,トリマー
trims	trims,トリム
trinocular	trinocular,三眼鏡
trip	trip
triphala	triphala,トリファラ
triple	triple,トリプル
triplexers	triplexers,トリプレクサー
tripod	tripod,三脚
trivets	trivets,五徳
trocars	trocars,トロカール
trolleys	trolleys,トロリー
trolling	trolling,トローリング
trouser	trouser,ズボン
trousers	trousers,ズボン
trout	trout,マス
trowels	trowels,こて
truck	truck,トラック
trucking	trucking,トラック輸送
truffle	truffle,トリュフ
truffles	truffles,トリュフ
trunks	trunks,トランク
trusses	trusses,トラス
tsukudani	tsukudani,佃煮
tube	tube,チューブ
tubing	tubing,チューブ
tubular	tubular,管状の
tulips	tulips,チューリップ
tumbas	tumbas,トゥンバ
tumbling	tumbling,転がる
tuna	tuna,マグロ
tune	tune,調子を整える
tuner	tuner,チューナー
tuners	tuners,チューナー
tungsten	tungsten,タングステン
tunics	tunics,チュニック
turbidity	turbidity,濁り
turbines	turbines,タービン
turbografx	turbografx,ターボグラフクス
tureens	tureens,チュレン
turmeric	turmeric,ターメリック
turnbuckles	turnbuckles,ターンバックル
turners	turners,ターナー
turning	turning,回す
turnips	turnips,カブ
tutorials	tutorials,チュートリアル
tuxedo	tuxedo,タキシード
tuxedos	tuxedos,タキシード
tweeters	tweeters,ツイーター
twin	twin,双子
twine	twine,麻ひも
twist	twist,ひねる
twists	twists,ひねる
two	two,2つ
tyers	tyers,段
tympanometers	tympanometers,ティンパノメーター
typewriters	typewriters,タイプライター
typing	typing,タイピング
tzatziki	tzatziki,ザジキ
uavs	uavs,UAV
udon	udon,うどん
ukulele	ukulele,ウクレレ
ulpa	ulpa,ウルパ
ultimate	ultimate,究極の
ultracentrifuges	ultracentrifuges,超遠心分離機
ultrafiltration	ultrafiltration,限外濾過
ultrasonic	ultrasonic,超音波
ultrasound	ultrasound,超音波
ultraviolet	ultraviolet,紫外線
umbrella	umbrella,傘
uncoated	uncoated,コーティングされていない
under	under,下
undergarment	undergarment,下着
undergarments	undergarments,下着
underground	underground,地下
underlayments	underlayments,下敷き
underpads	underpads,アンダーパッド
undershirts	undershirts,下着
undershorts	undershorts,アンダーショーツ
underwater	underwater,水中
unequal	unequal,不平等
unfinished	unfinished,未完成の
uni	uni,ユニ
uniform	uniform,ユニフォーム
uninterruptible	uninterruptible,中断できない
union	union,組合
unitards	unitards,ユニタード
unitized	unitized,ユニット化された
unity	unity,団結
universal	universal,普遍的な
unmanned	unmanned,無人
unpopped	unpopped,ポップされていない
unroasted	unroasted,焙煎されていない
unstrung	unstrung,緊張していない
upholstery	upholstery,室内装飾品
upkeep	upkeep,維持する
upper	upper,上部
upright	upright,直立した
urea	urea,尿素
urethane	urethane,ウレタン
urinal	urinal,小便器
urinals	urinals,小便器
urinalysis	urinalysis,尿検査
urinary	urinary,尿道
urine	urine,尿
urns	urns,骨壷
usb	usb
use	use,使う
usuba	usuba,薄葉
utensil	utensil,道具
utensils	utensils,食器
uterine	uterine,子宮
utv	utv
uv	uv,紫外線
vacuum	vacuum,真空
vaginal	vaginal,膣
valencia	valencia,バレンシア
valerian	valerian,バレリアン
valet	valet,係員付き
van	van,バン
vanilla	vanilla,バニラ
vanity	vanity,虚栄心
vapor	vapor,蒸気
varactor	varactor,バラクター
variable	variable,変数
variety	variety,さまざまな
varistors	varistors,バリスタ
varnish	varnish,ワニス
varnishers	varnishers,ニス塗り
varsity	varsity,代表チーム
vasaka	vasaka,ヴァサカ
vase	vase,花瓶
vases	vases,花瓶
vault	vault,金庫室
vcr	vcr,ビデオデッキ
vectors	vectors,ベクトル
veenas	veenas,ヴィーナス
vellum	vellum,羊皮紙
vending	vending,自動販売機
veneers	veneers,ベニヤ
venison	venison,鹿肉
ventilation	ventilation,換気
ventilator	ventilator,人工呼吸器
ventilators	ventilators,人工呼吸器
ventriloquist	ventriloquist,腹話術師
vents	vents,通気口
vera	vera,ベラ
verde	verde,ベルデ
vernier	vernier,バーニア
vertical	vertical,垂直
vessel	vessel,容器
vest	vest,ベスト
vga	vga
vials	vials,バイアル
vibraphone	vibraphone,ビブラフォン
vibrators	vibrators,バイブレーター
vidalia	vidalia,ヴィダリア
vide	vide,ビデオ
view	view,見る
viewers	viewers,視聴者
vinaigrette	vinaigrette,ビネグレットソース
vine	vine,つる
vinegar	vinegar,酢
vinegars	vinegars,酢
vines	vines,ブドウの木
vinyl	vinyl,ビニール
viola	viola,ヴィオラ
violas	violas,ビオラ
violin	violin,ヴァイオリン
violins	violins,ヴァイオリン
viscometers	viscometers,粘度計
vise	vise,万力
vises	vises,万力
visor	visor,バイザー
visual	visual,ビジュアル
visualization	visualization,視覚化
vita	vita,ヴィータ
vital	vital,重要な
vitamin	vitamin,ビタミン
vocal	vocal,ボーカル
voice	voice,声
voip	voip,ボイプ
volt	volt,ボルト
voltage	voltage,電圧
volume	volume,ボリューム
volumetric	volumetric,体積測定
vortex	vortex,渦巻き
votive	votive,奉納
vr	vr
vre	vre,ヴレ
vtr	vtr,ビデオ
waffle	waffle,ワッフル
waffles	waffles,ワッフル
wagashi	wagashi,和菓子
wah	wah,わあ
waistcoats	waistcoats,チョッキ
waiter	waiter,ウェイター
wakeboarding	wakeboarding,ウェイクボード
wakeboards	wakeboards,ウェイクボード
wakeskating	wakeskating,ウェイクスケート
wakesurfing	wakesurfing,ウェイクサーフィン
walk	walk,歩く
walker	walker,歩行者
walkers	walkers,ウォーカー
walking	walking,歩く
walla	walla,ワラ
wallpapering	wallpapering,壁紙張り
walls	walls,壁
walnut	walnut,クルミ
walnuts	walnuts,クルミ
warming	warming,温暖化
warning	warning,警告
wart	wart,いぼ
wash	wash,洗う
washcloths	washcloths,手ぬぐい
washdown	washdown,ウォッシュダウン
washer	washer,ワッシャー
washes	washes,洗う
washing	washing,洗濯
wastebaskets	wastebaskets,ゴミ箱
wastepaper	wastepaper,古紙
waterbed	waterbed,ウォーターベッド
watercolor	watercolor,水彩画
watercraft	watercraft,水上バイク
waterers	waterers,給水者
waterfall	waterfall,滝
waterfalls	waterfalls,滝
watering	watering,水やり
watermelon	watermelon,スイカ
waterproof	waterproof,防水
waterskis	waterskis,水上スキー
waterslide	waterslide,ウォータースライダー
wave	wave,波
waxes	waxes,ワックス
waxing	waxing,ワックスがけ
way	way,方法
wearables	wearables,ウェアラブル
weatherproofing	weatherproofing,耐候性
weathervanes	weathervanes,風見鶏
weaving	weaving,織る
webcams	webcams,ウェブカメラ
wedding	wedding,結婚式
wedge	wedge,くさび
weed	weed,雑草
weeders	weeders,草取り業者
